ser,cat
1,all
2,Agriculture
3,Agricultural Equipment
4,Agricultural Greenhouses
5,Aquaculture Equipment
6,Aquaculture Trap
7,Fishing Float
8,Fishing Net
9,Fishing Rope
10,Other Aquaculture Equipment
11,Ear Tag
12,Agricultural Growing Media
13,Peat
14,Agricultural Product Stock
15,Agricultural Waste
16,Animal Extract
17,Animal Feed
18,Animal Products
19,Eggs
20,Fowl & Livestock
21,Bamboo Raw Materials
22,Bean-Like Seeds
23,Cacao
24,Coffee Beans
25,Vanilla Beans
26,Beans
27,Broad Beans
28,Butter Beans
29,Chickpeas
30,Kidney Beans
31,Lentils
32,Lima Beans
33,Other Beans
34,Peas
35,Soybeans
36,Vigna Beans
37,Cigarettes
38,Cigars
39,Fresh Fruit
40,Fresh Apples
41,Fresh Apricots
42,Fresh Avocados
43,Fresh Bananas
44,Fresh Berries
45,Fresh Cherries
46,Fresh Citrus Fruit
47,Fresh Coconuts
48,Fresh Dragon Fruit
49,Fresh Durians
50,Fresh Grapes
51,Fresh Guava
52,Fresh Kiwi Fruit
53,Fresh Mangos
54,Fresh Melons
55,Fresh Olives
56,Fresh Papaya
57,Fresh Peaches
58,Fresh Pears
59,Fresh Pineapples
60,Fresh Plums
61,Fresh Pomegranates
62,Other Fresh Fruit
63,Fresh Vegetables
64,Fresh Asparagus
65,Fresh Broccoli
66,Fresh Burdock
67,Fresh Cabbages
68,Fresh Capsicum
69,Fresh Carrots
70,Fresh Cassava
71,Fresh Cauliflower
72,Fresh Celery Cabbage
73,Fresh Cucumber
74,Fresh Garlic
75,Fresh Ginger
76,Fresh Okra
77,Fresh Onions
78,Fresh Potatoes
79,Fresh Pumpkins
80,Fresh Radish
81,Fresh Scallions
82,Fresh Sweet Potatoes
83,Fresh Taro
84,Fresh Tomatoes
85,Other Fresh Vegetables
86,Grain
87,Barley
88,Buckwheat
89,Corn
90,Millet
91,Oats
92,Other Grain
93,Quinoa
94,Rice
95,Rye
96,Sorghum
97,Wheat
98,Logs
99,Mushrooms & Truffles
100,Mushrooms
101,Truffles
102,Nuts & Kernels
103,Almond
104,Apricot Kernels
105,Betel Nuts
106,Brazil Nuts
107,Cashew Nuts
108,Chestnuts
109,Ginkgo Nuts
110,Hazelnuts
111,Macadamia Nuts
112,Melon Seeds
113,Other Nuts & Kernels
114,Peanuts
115,Pecan Nuts
116,Pine Nuts
117,Pistachio Nuts
118,Pumpkin Kernels
119,Sunflower Kernels
120,Walnuts
121,Ornamental Plants
122,Bonsai
123,Dried Flowers
124,Fresh Cut Flowers
125,Natural Plants
126,Other Agriculture Products
127,Plant & Animal Oil
128,Animal Oil
129,Blended Oil
130,Camellia Oil
131,Castor Oil
132,Coconut Oil
133,Corn Oil
134,Ginger Oil
135,Olive Oil
136,Other Plant & Animal Oil
137,Palm Oil
138,Rapeseed Oil
139,Sesame Oil
140,Soybean Oil
141,Sunflower Oil
142,Plant Extract
143,Plant Fiber
144,Plant Seeds & Bulbs
145,"Flower Bulbs, Seeds & Seedlings"
146,Forage Seeds
147,"Fruit Grafts, Seedlings & Rootstocks"
148,Oil Seeds
149,Vegetable Seeds
150,Tobacco
153,Apparel
154,Apparel Design Services
155,Apparel Processing Services
156,Apparel Stock
157,Childrens Clothing
158,Childrens Clothing Sets
159,Childrens Coats
160,Childrens Hoodies & Sweatshirts
161,Childrens Jackets
162,Childrens Jeans
163,Childrens Pants & Trousers
164,Childrens Shirts & Tops
165,Childrens Shorts
166,Childrens Sweaters
167,Childrens T-Shirts
168,Childrens Underwear
169,Childrens Vests & Waistcoats
170,Girls Dresses
171,Girls Skirts
172,Other Childrens Clothing
173,Coats
174,Costumes
175,Anime Costumes
176,Mascot
177,Other Costumes
178,Reenactment Attire
179,Sexy Costumes
180,TV & Movie Costumes
181,Zentai / catsuit
182,Dresses
183,Career Dresses
184,Casual Dresses
185,Cocktail Dresses
186,Evening Dresses
187,Other Dresses
188,Prom Dresses
189,Ethnic Clothing
190,Africa Clothing
191,Asia & Pacific Islands Clothing
192,India & Pakistan Clothing
193,Islamic Clothing
194,Other Regional Clothing
195,Traditional Chinese Clothing
196,Garment Accessories
197,Badges
198,Buckles
199,Buttons
200,Cords
201,Garment Beads
202,Garment Clips
203,Garment Eyelets
204,Garment Hooks
205,Garment Labels
206,Garment Rivets
207,Garment Tags
208,Interlinings & Linings
209,Lace
210,Other Garment Accessories
211,Patches
212,Rhinestones
213,Ribbons
214,Sequins
215,Shoulder Pads
216,Stopper
217,Trimming
